           flux         loglam           ivar
              E              E              E
                                             
   1.833465E+01   3.623100E+00   3.305234E-01
   1.596167E+01   3.623200E+00   3.575529E-01
   2.089299E+01   3.623300E+00   3.454321E-01
   2.155286E+01   3.623400E+00   3.373078E-01
   1.902494E+01   3.623500E+00   3.491011E-01
   1.934043E+01   3.623600E+00   3.588936E-01
   1.837633E+01   3.623700E+00   3.619823E-01
   1.687037E+01   3.623800E+00   3.697968E-01
   1.810663E+01   3.623900E+00   3.529483E-01
   2.026587E+01   3.624000E+00   3.295878E-01
   1.645432E+01   3.624100E+00   3.445250E-01
   1.915449E+01   3.624200E+00   3.315195E-01
   1.849160E+01   3.624300E+00   3.477856E-01
   1.862954E+01   3.624400E+00   3.654962E-01
   1.870837E+01   3.624500E+00   3.731620E-01
   1.573504E+01   3.624600E+00   3.903375E-01
   1.467924E+01   3.624700E+00   3.929561E-01
   1.539100E+01   3.624800E+00   3.810009E-01
   1.401793E+01   3.624900E+00   3.905246E-01
   1.457000E+01   3.625000E+00   3.801196E-01
   1.548212E+01   3.625100E+00   3.750253E-01
   1.799772E+01   3.625200E+00   3.891336E-01
   1.489298E+01   3.625300E+00   4.249666E-01
   1.671768E+01   3.625400E+00   4.124532E-01
   1.579169E+01   3.625500E+00   4.206717E-01
   1.964575E+01   3.625600E+00   3.946946E-01
   1.923190E+01   3.625700E+00   3.877795E-01
   1.635600E+01   3.625800E+00   4.059208E-01
   1.531068E+01   3.625900E+00   4.200036E-01
   1.395981E+01   3.626000E+00   4.328134E-01
   1.391175E+01   3.626100E+00   4.370245E-01
   1.716275E+01   3.626200E+00   4.099092E-01
   1.667870E+01   3.626300E+00   3.772979E-01
   2.036704E+01   3.626400E+00   3.463805E-01
   1.634125E+01   3.626500E+00   3.777207E-01
   1.398443E+01   3.626600E+00   3.879470E-01
   1.370181E+01   3.626700E+00   3.895908E-01
   1.488572E+01   3.626800E+00   3.935832E-01
   1.306247E+01   3.626900E+00   4.136174E-01
   1.517992E+01   3.627000E+00   4.205628E-01
   1.765599E+01   3.627100E+00   4.024627E-01
   1.607880E+01   3.627200E+00   4.091262E-01
   1.615345E+01   3.627300E+00   3.955842E-01
   1.578853E+01   3.627400E+00   3.906049E-01
   1.497285E+01   3.627500E+00   3.757209E-01
   1.549247E+01   3.627600E+00   3.722889E-01
   1.360784E+01   3.627700E+00   3.799281E-01
   1.537928E+01   3.627800E+00   3.800617E-01
   1.411157E+01   3.627900E+00   3.814762E-01
   1.545677E+01   3.628000E+00   3.622857E-01
   1.557920E+01   3.628100E+00   3.506689E-01
   1.591388E+01   3.628200E+00   3.609361E-01
   1.694934E+01   3.628300E+00   3.781641E-01
   1.615532E+01   3.628400E+00   4.208855E-01
   1.496323E+01   3.628500E+00   4.455776E-01
   1.619945E+01   3.628600E+00   4.163273E-01
   1.845534E+01   3.628700E+00   3.814808E-01
   1.671992E+01   3.628800E+00   4.004578E-01
   1.392141E+01   3.628900E+00   4.498226E-01
   1.510836E+01   3.629000E+00   4.425291E-01
   1.683045E+01   3.629100E+00   4.304681E-01
   1.566948E+01   3.629200E+00   4.219913E-01
   1.778913E+01   3.629300E+00   4.091152E-01
   1.538282E+01   3.629400E+00   4.160252E-01
   1.369041E+01   3.629500E+00   4.344330E-01
   1.690579E+01   3.629600E+00   4.198645E-01
   1.635391E+01   3.629700E+00   4.265055E-01
   1.353930E+01   3.629800E+00   4.535698E-01
   1.449074E+01   3.629900E+00   4.751862E-01
   1.274192E+01   3.630000E+00   4.851871E-01
   1.416132E+01   3.630100E+00   4.607256E-01
   1.333595E+01   3.630200E+00   4.699622E-01
   1.256717E+01   3.630300E+00   4.737148E-01
   1.762259E+01   3.630400E+00   4.446586E-01
   1.799655E+01   3.630500E+00   4.524243E-01
   1.742168E+01   3.630600E+00   4.640163E-01
   1.751804E+01   3.630700E+00   4.403512E-01
   1.612900E+01   3.630800E+00   4.262032E-01
   1.481842E+01   3.630900E+00   4.176429E-01
   1.577565E+01   3.631000E+00   4.233292E-01
   1.736234E+01   3.631100E+00   4.087200E-01
   1.479210E+01   3.631200E+00   4.278914E-01
   1.498333E+01   3.631300E+00   4.186952E-01
   1.676896E+01   3.631400E+00   4.230812E-01
   1.453898E+01   3.631500E+00   4.369077E-01
   1.737628E+01   3.631600E+00   4.377663E-01
   1.404298E+01   3.631700E+00   4.562091E-01
   1.271183E+01   3.631800E+00   4.680544E-01
   1.553851E+01   3.631900E+00   4.470513E-01
   1.705381E+01   3.632000E+00   4.378500E-01
   1.677522E+01   3.632100E+00   4.365548E-01
   1.425628E+01   3.632200E+00   4.604775E-01
   1.050815E+01   3.632300E+00   4.986945E-01
   1.527911E+01   3.632400E+00   4.822113E-01
   1.692750E+01   3.632500E+00   4.657545E-01
   1.415028E+01   3.632600E+00   4.977888E-01
   1.496444E+01   3.632700E+00   4.866925E-01
   1.483516E+01   3.632800E+00   4.902243E-01
   1.280603E+01   3.632900E+00   4.934789E-01
   1.404724E+01   3.633000E+00   4.604041E-01
   1.501903E+01   3.633100E+00   4.265703E-01
   1.441453E+01   3.633200E+00   4.217514E-01
   1.334706E+01   3.633300E+00   4.328588E-01
   1.380691E+01   3.633400E+00   4.600609E-01
   1.586912E+01   3.633500E+00   4.699751E-01
   1.435244E+01   3.633600E+00   5.136169E-01
   1.354991E+01   3.633700E+00   5.450791E-01
   1.396952E+01   3.633800E+00   5.506941E-01
   1.265962E+01   3.633900E+00   5.420473E-01
   1.160600E+01   3.634000E+00   5.344092E-01
   1.491241E+01   3.634100E+00   4.883200E-01
   1.231698E+01   3.634200E+00   5.054279E-01
   1.207319E+01   3.634300E+00   4.953069E-01
   1.781648E+01   3.634400E+00   4.662371E-01
   1.797676E+01   3.634500E+00   4.821111E-01
   1.365528E+01   3.634600E+00   5.357285E-01
   1.404935E+01   3.634700E+00   5.458137E-01
   1.356386E+01   3.634800E+00   5.399749E-01
   1.372976E+01   3.634900E+00   5.191116E-01
   1.534087E+01   3.635000E+00   4.927976E-01
   1.344287E+01   3.635100E+00   4.934964E-01
   1.578991E+01   3.635200E+00   4.501634E-01
   1.578998E+01   3.635300E+00   4.665773E-01
   1.583738E+01   3.635400E+00   4.588545E-01
   1.364067E+01   3.635500E+00   4.630035E-01
   1.295669E+01   3.635600E+00   4.723023E-01
   1.375642E+01   3.635700E+00   4.787715E-01
   1.365275E+01   3.635800E+00   4.975576E-01
   1.280649E+01   3.635900E+00   5.221156E-01
   1.342471E+01   3.636000E+00   5.594363E-01
   1.514695E+01   3.636100E+00   5.337865E-01
   1.416746E+01   3.636200E+00   4.938296E-01
   1.504031E+01   3.636300E+00   4.625878E-01
   1.427277E+01   3.636400E+00   4.699561E-01
   1.790211E+01   3.636500E+00   4.549690E-01
   1.683487E+01   3.636600E+00   4.761654E-01
   1.380396E+01   3.636700E+00   5.087633E-01
   1.451078E+01   3.636800E+00   5.108797E-01
   1.499208E+01   3.636900E+00   5.203006E-01
   1.454614E+01   3.637000E+00   5.143253E-01
   1.466310E+01   3.637100E+00   4.993059E-01
   1.506597E+01   3.637200E+00   5.181147E-01
   1.500443E+01   3.637300E+00   5.349671E-01
   1.542906E+01   3.637400E+00   5.176612E-01
   1.748287E+01   3.637500E+00   4.893661E-01
   1.549023E+01   3.637600E+00   4.987155E-01
   1.563214E+01   3.637700E+00   4.728476E-01
   1.308430E+01   3.637800E+00   4.744951E-01
   1.328053E+01   3.637900E+00   4.567011E-01
   1.444324E+01   3.638000E+00   4.446659E-01
   1.339195E+01   3.638100E+00   4.513645E-01
   1.574200E+01   3.638200E+00   4.386591E-01
   1.507899E+01   3.638300E+00   4.474312E-01
   1.651979E+01   3.638400E+00   4.423370E-01
